#IID	HET_CT	H	theta	Ne
NA18870	3287687	0.0010274	0.00102846	21426.2
NA18871	3268507	0.00102141	0.00102245	21301
NA18853	3262085	0.0010194	0.00102044	21259.2
NA18873	3287367	0.0010273	0.00102836	21424.2
NA18874	3286837	0.00102714	0.0010282	21420.8
NA18876	3284248	0.00102633	0.00102738	21403.8
NA18877	3258620	0.00101832	0.00101936	21236.7
NA18878	3265373	0.00102043	0.00102147	21280.6
NA18879	3290667	0.00102833	0.00102939	21445.6
NA18881	3252578	0.00101643	0.00101746	21197.1
NA18856	3300249	0.00103133	0.00103239	21508.1
NA18861	3294694	0.00102959	0.00103065	21471.9
NA18907	3276770	0.00102399	0.00102504	21355
NA18908	3270798	0.00102212	0.00102317	21316
NA18864	3278684	0.00102459	0.00102564	21367.5
NA18865	3279044	0.0010247	0.00102575	21369.8
NA18909	3283548	0.00102611	0.00102716	21399.2
NA18910	3253699	0.00101678	0.00101781	21204.4
NA18912	3275934	0.00102373	0.00102478	21349.6
NA18915	3261340	0.00101917	0.00102021	21254.4
NA18916	3294951	0.00102967	0.00103073	21473.5
NA18917	3291252	0.00102852	0.00102958	21449.6
NA18923	3269386	0.00102168	0.00102272	21306.7
NA18924	3258716	0.00101835	0.00101939	21237.3
NA19197	3261885	0.00101934	0.00102038	21257.9
NA19198	3253608	0.00101675	0.00101778	21203.8
NA18933	3264696	0.00102022	0.00102126	21276.2
NA18934	3253485	0.00101671	0.00101774	21202.9
NA19184	3253642	0.00101676	0.00101779	21204
NA19185	3285446	0.0010267	0.00102776	21411.7
NA19092	3273197	0.00102287	0.00102392	21331.7
NA19093	3247927	0.00101498	0.00101601	21166.9
NA19095	3247402	0.00101481	0.00101584	21163.3
NA19096	3255595	0.00101737	0.00101841	21216.9
NA19102	3277945	0.00102436	0.00102541	21362.7
NA19137	3250639	0.00101582	0.00101685	21184.4
NA19138	3251972	0.00101624	0.00101727	21193.1
NA19175	3273422	0.00102294	0.00102399	21333.1
NA19201	3229378	0.00100918	0.0010102	21045.8
NA19171	3263893	0.00101997	0.00102101	21271
NA19172	3253386	0.00101668	0.00101771	21202.3
NA19204	3261393	0.00101919	0.00102023	21254.8
NA19209	3256345	0.00101761	0.00101865	21221.9
NA19210	3271929	0.00102248	0.00102353	21323.5
NA19206	3265331	0.00102042	0.00102146	21280.4
NA19207	3256359	0.00101761	0.00101865	21221.9
NA19159	3299229	0.00103101	0.00103207	21501.5
NA19160	3259513	0.0010186	0.00101964	21242.5
NA19225	3278872	0.00102465	0.0010257	21368.8
NA19222	3246678	0.00101459	0.00101562	21158.8
NA19223	3244767	0.00101399	0.00101502	21146.2
NA19116	3249845	0.00101558	0.00101661	21179.4
NA19119	3265722	0.00102054	0.00102158	21282.9
NA19121	3239517	0.00101235	0.00101338	21112.1
NA19141	3244376	0.00101387	0.0010149	21143.8
NA19152	3281419	0.00102544	0.00102649	21385.2
NA19153	3246228	0.00101445	0.00101548	21155.8
NA19149	3237344	0.00101167	0.00101269	21097.7
NA19143	3256903	0.00101778	0.00101882	21225.4
NA19144	3278560	0.00102455	0.0010256	21366.7
NA19146	3264088	0.00102003	0.00102107	21272.3
NA19147	3269596	0.00102175	0.0010228	21308.3
NA19113	3219209	0.001006	0.00100701	20979.4
NA19114	3288620	0.00102769	0.00102875	21432.3
NA19256	3287731	0.00102742	0.00102848	21426.7
NA19257	3286450	0.00102702	0.00102808	21418.3
NA19117	3253004	0.00101656	0.00101759	21199.8
NA19118	3281625	0.00102551	0.00102656	21386.7
NA19131	3294140	0.00102942	0.00103048	21468.3
NA19098	3258592	0.00101831	0.00101935	21236.5
NA19099	3275132	0.00102348	0.00102453	21344.4
NA19213	3295242	0.00102976	0.00103082	21475.4
NA19214	3273354	0.00102292	0.00102397	21332.7
NA19189	3204530	0.00100142	0.00100242	20883.8
NA19190	3271479	0.00102234	0.00102339	21320.6
NA19235	3268873	0.00102152	0.00102256	21303.3
NA19236	3271012	0.00102219	0.00102324	21317.5
NA19238	3264671	0.00102021	0.00102125	21276
NA19239	3258243	0.0010182	0.00101924	21234.2
NA19247	3233580	0.00101049	0.00101151	21073.1
NA19248	3259134	0.00101848	0.00101952	21240
